airline_id,airline,avail_seat_km_per_week,incidents_85_99,fatal_accidents_85_99,fatalities_85_99,incidents_00_14,fatal_accidents_00_14,fatalities_00_14
1,Aer Lingus,320906734,2,0,0,0,0,0
2,Aeroflot*,1197672318,76,14,128,6,1,88
3,Aerolineas Argentinas,385803648,6,0,0,1,0,0
4,Aeromexico*,596871813,3,1,64,5,0,0
5,Air Canada,1865253802,2,0,0,2,0,0
6,Air France,3004002661,14,4,79,6,2,337
7,Air India*,869253552,2,1,329,4,1,158
8,Air New Zealand*,710174817,3,0,0,5,1,7
9,Alaska Airlines*,965346773,5,0,0,5,1,88
10,Alitalia,698012498,7,2,50,4,0,0
11,All Nippon Airways,1841234177,3,1,1,7,0,0
12,American*,5228357340,21,5,101,17,3,416
13,Austrian Airlines,358239823,1,0,0,1,0,0
14,Avianca,396922563,5,3,323,0,0,0
15,British Airways*,3179760952,4,0,0,6,0,0
16,Cathay Pacific*,2582459303,0,0,0,2,0,0
17,China Airlines,813216487,12,6,535,2,1,225
18,Condor,417982610,2,1,16,0,0,0
19,COPA,550491507,3,1,47,0,0,0
20,Delta / Northwest*,6525658894,24,12,407,24,2,51
21,Egyptair,557699891,8,3,282,4,1,14
22,El Al,335448023,1,1,4,1,0,0
23,Ethiopian Airlines,488560643,25,5,167,5,2,92
24,Finnair,506464950,1,0,0,0,0,0
25,Garuda Indonesia,613356665,10,3,260,4,2,22
26,Gulf Air,301379762,1,0,0,3,1,143
27,Hawaiian Airlines,493877795,0,0,0,1,0,0
28,Iberia,1173203126,4,1,148,5,0,0
29,Japan Airlines,1574217531,3,1,520,0,0,0
30,Kenya Airways,277414794,2,0,0,2,2,283
31,KLM*,1874561773,7,1,3,1,0,0
32,Korean Air,1734522605,12,5,425,1,0,0
33,LAN Airlines,1001965891,3,2,21,0,0,0
34,Lufthansa*,3426529504,6,1,2,3,0,0
35,Malaysia Airlines,1039171244,3,1,34,3,2,537
36,Pakistan International,348563137,8,3,234,10,2,46
37,Philippine Airlines,413007158,7,4,74,2,1,1
38,Qantas*,1917428984,1,0,0,5,0,0
39,Royal Air Maroc,295705339,5,3,51,3,0,0
40,SAS*,682971852,5,0,0,6,1,110
41,Saudi Arabian,859673901,7,2,313,11,0,0
42,Singapore Airlines,2376857805,2,2,6,2,1,83
43,South African,651502442,2,1,159,1,0,0
44,Southwest Airlines,3276525770,1,0,0,8,0,0
45,Sri Lankan / AirLanka,325582976,2,1,14,4,0,0
46,SWISS*,792601299,2,1,229,3,0,0
47,TACA,259373346,3,1,3,1,1,3
48,TAM,1509195646,8,3,98,7,2,188
49,TAP - Air Portugal,619130754,0,0,0,0,0,0
50,Thai Airways,1702802250,8,4,308,2,1,1
51,Turkish Airlines,1946098294,8,3,64,8,2,84
52,United / Continental*,7139291291,19,8,319,14,2,109
53,US Airways / America West*,2455687887,16,7,224,11,2,23
54,Vietna57m Airlines,625084918,7,3,171,1,0,0
55,Virgin Atlantic,1005248585,1,0,0,0,0,0
56,Xiamen Airlines,430462962,9,1,82,2,0,0
57,Aer Lingus,320906734,2,1,1,1,1,1
58,Aeroflot*,1197672318,76,14,128,6,1,88
59,Aerolineas Argentinas,385803648,6,0,0,1,0,0
60,Aeromexico*,596871813,3,1,64,5,0,0
61,Air Canada,1865253802,2,0,0,2,0,0
62,Air France,3004002661,14,4,79,6,2,337
63,Air India*,869253552,2,1,329,4,1,158
64,Air New Zealand*,710174817,3,0,0,5,1,7
65,Alaska Airlines*,965346773,5,0,0,5,1,88
66,Alitalia,698012498,7,2,50,4,0,0
67,All Nippon Airways,1841234177,3,1,1,7,0,0
68,American*,5228357340,21,5,101,17,3,416
69,Austrian Airlines,358239823,1,0,0,1,0,0
70,Avianca,396922563,5,3,323,0,0,0
71,British Airways*,3179760952,4,0,0,6,0,0
72,Cathay Pacific*,2582459303,0,0,0,2,0,0
73,China Airlines,813216487,12,6,535,2,1,225
74,Condor,417982610,2,1,16,0,0,0
75,COPA,550491507,3,1,47,0,0,0
76,Delta / Northwest*,6525658894,24,12,407,24,2,51
77,Egyptair,557699891,8,3,282,4,1,14
78,El Al,335448023,1,1,4,1,0,0
79,Ethiopian Airlines,488560643,25,5,167,5,2,92
80,Finnair,506464950,1,0,0,0,0,0
81,Garuda Indonesia,613356665,10,3,260,4,2,22
82,Gulf Air,301379762,1,0,0,3,1,143
83,Hawaiian Airlines,493877795,0,0,0,1,0,0
84,Iberia,1173203126,4,1,148,5,0,0
85,Japan Airlines,1574217531,3,1,520,0,0,0
86,Kenya Airways,277414794,2,0,0,2,2,283
87,KLM*,1874561773,7,1,3,1,0,0
88,Korean Air,1734522605,12,5,425,1,0,0
89,LAN Airlines,1001965891,3,2,21,0,0,0
90,Lufthansa*,3426529504,6,1,2,3,0,0
91,Malaysia Airlines,1039171244,3,1,34,3,2,537
92,Pakistan International,348563137,8,3,234,10,2,46
93,Philippine Airlines,413007158,7,4,74,2,1,1
94,Qantas*,1917428984,1,0,0,5,0,0
95,Royal Air Maroc,295705339,5,3,51,3,0,0
96,SAS*,682971852,5,0,0,6,1,110
97,Saudi Arabian,859673901,7,2,313,11,0,0
98,Singapore Airlines,2376857805,2,2,6,2,1,83
99,South African,651502442,2,1,159,1,0,0
100,Southwest Airlines,3276525770,1,0,0,8,0,0
101,Sri Lankan / AirLanka,325582976,2,1,14,4,0,0
102,SWISS*,792601299,2,1,229,3,0,0
103,TACA,259373346,3,1,3,1,1,3
104,TAM,1509195646,8,3,98,7,2,188
105,TAP - Air Portugal,619130754,0,0,0,0,0,0
106,Thai Airways,1702802250,8,4,308,2,1,1
107,Turkish Airlines,1946098294,8,3,64,8,2,84
108,United / Continental*,7139291291,19,8,319,14,2,109
109,US Airways / America West*,2455687887,16,7,224,11,2,23
110,Vietna57m Airlines,625084918,7,3,171,1,0,0
111,Virgin Atlantic,1005248585,1,0,0,0,0,0
112,Xiamen Airlines,430462962,9,1,82,2,0,0
113,Aer Lingus,320906734,2,1,1,1,1,1
114,Aeroflot*,1197672318,76,14,128,6,1,88
115,Aerolineas Argentinas,385803648,6,0,0,1,0,0
116,Aeromexico*,596871813,3,1,64,5,0,0
117,Air Canada,1865253802,2,0,0,2,0,0
118,Air France,3004002661,14,4,79,6,2,337
119,Air India*,869253552,2,1,329,4,1,158
120,Air New Zealand*,710174817,3,0,0,5,1,7
121,Alaska Airlines*,965346773,5,0,0,5,1,88
122,Alitalia,698012498,7,2,50,4,0,0
123,All Nippon Airways,1841234177,3,1,1,7,0,0
124,American*,5228357340,21,5,101,17,3,416
125,Austrian Airlines,358239823,1,0,0,1,0,0
126,Avianca,396922563,5,3,323,0,0,0
127,British Airways*,3179760952,4,0,0,6,0,0
128,Cathay Pacific*,2582459303,0,0,0,2,0,0
129,China Airlines,813216487,12,6,535,2,1,225
130,Condor,417982610,2,1,16,0,0,0
131,COPA,550491507,3,1,47,0,0,0
132,Delta / Northwest*,6525658894,24,12,407,24,2,51
133,Egyptair,557699891,8,3,282,4,1,14
134,El Al,335448023,1,1,4,1,0,0
135,Ethiopian Airlines,488560643,25,5,167,5,2,92
136,Finnair,506464950,1,0,0,0,0,0
137,Garuda Indonesia,613356665,10,3,260,4,2,22
138,Gulf Air,301379762,1,0,0,3,1,143
139,Hawaiian Airlines,493877795,0,0,0,1,0,0
140,Iberia,1173203126,4,1,148,5,0,0
141,Japan Airlines,1574217531,3,1,520,0,0,0
142,Kenya Airways,277414794,2,0,0,2,2,283
143,KLM*,1874561773,7,1,3,1,0,0
144,Korean Air,1734522605,12,5,425,1,0,0
145,LAN Airlines,1001965891,3,2,21,0,0,0
146,Lufthansa*,3426529504,6,1,2,3,0,0
147,Malaysia Airlines,1039171244,3,1,34,3,2,537
148,Pakistan International,348563137,8,3,234,10,2,46
149,Philippine Airlines,413007158,7,4,74,2,1,1
150,Qantas*,1917428984,1,0,0,5,0,0
151,Royal Air Maroc,295705339,5,3,51,3,0,0
152,SAS*,682971852,5,0,0,6,1,110
153,Saudi Arabian,859673901,7,2,313,11,0,0
154,Singapore Airlines,2376857805,2,2,6,2,1,83
155,South African,651502442,2,1,159,1,0,0
156,Southwest Airlines,3276525770,1,0,0,8,0,0
157,Sri Lankan / AirLanka,325582976,2,1,14,4,0,0
158,SWISS*,792601299,2,1,229,3,0,0
159,TACA,259373346,3,1,3,1,1,3
160,TAM,1509195646,8,3,98,7,2,188
161,TAP - Air Portugal,619130754,0,0,0,0,0,0
162,Thai Airways,1702802250,8,4,308,2,1,1
163,Turkish Airlines,1946098294,8,3,64,8,2,84
164,United / Continental*,7139291291,19,8,319,14,2,109
165,US Airways / America West*,2455687887,16,7,224,11,2,23
166,Vietna57m Airlines,625084918,7,3,171,1,0,0
167,Virgin Atlantic,1005248585,1,0,0,0,0,0
168,Xiamen Airlines,430462962,9,1,82,2,0,0
169,Aer Lingus,320906734,2,1,1,1,1,1
170,Aeroflot*,1197672318,76,14,128,6,1,88
171,Aerolineas Argentinas,385803648,6,0,0,1,0,0
172,Aeromexico*,596871813,3,1,64,5,0,0
173,Air Canada,1865253802,2,0,0,2,0,0
174,Air France,3004002661,14,4,79,6,2,337
175,Air India*,869253552,2,1,329,4,1,158
176,Air New Zealand*,710174817,3,0,0,5,1,7
177,Alaska Airlines*,965346773,5,0,0,5,1,88
178,Alitalia,698012498,7,2,50,4,0,0
179,All Nippon Airways,1841234177,3,1,1,7,0,0
180,American*,5228357340,21,5,101,17,3,416
181,Austrian Airlines,358239823,1,0,0,1,0,0
182,Avianca,396922563,5,3,323,0,0,0
183,British Airways*,3179760952,4,0,0,6,0,0
184,Cathay Pacific*,2582459303,0,0,0,2,0,0
185,China Airlines,813216487,12,6,535,2,1,225
186,Condor,417982610,2,1,16,0,0,0
187,COPA,550491507,3,1,47,0,0,0
188,Delta / Northwest*,6525658894,24,12,407,24,2,51
189,Egyptair,557699891,8,3,282,4,1,14
190,El Al,335448023,1,1,4,1,0,0
191,Ethiopian Airlines,488560643,25,5,167,5,2,92
192,Finnair,506464950,1,0,0,0,0,0
193,Garuda Indonesia,613356665,10,3,260,4,2,22
194,Gulf Air,301379762,1,0,0,3,1,143
195,Hawaiian Airlines,493877795,0,0,0,1,0,0
196,Iberia,1173203126,4,1,148,5,0,0
197,Japan Airlines,1574217531,3,1,520,0,0,0
198,Kenya Airways,277414794,2,0,0,2,2,283
199,KLM*,1874561773,7,1,3,1,0,0
200,Korean Air,1734522605,12,5,425,1,0,0
201,LAN Airlines,1001965891,3,2,21,0,0,0
202,Lufthansa*,3426529504,6,1,2,3,0,0
203,Malaysia Airlines,1039171244,3,1,34,3,2,537
204,Pakistan International,348563137,8,3,234,10,2,46
205,Philippine Airlines,413007158,7,4,74,2,1,1
206,Qantas*,1917428984,1,0,0,5,0,0
207,Royal Air Maroc,295705339,5,3,51,3,0,0
208,SAS*,682971852,5,0,0,6,1,110
209,Saudi Arabian,859673901,7,2,313,11,0,0
210,Singapore Airlines,2376857805,2,2,6,2,1,83
211,South African,651502442,2,1,159,1,0,0
212,Southwest Airlines,3276525770,1,0,0,8,0,0
213,Sri Lankan / AirLanka,325582976,2,1,14,4,0,0
214,SWISS*,792601299,2,1,229,3,0,0
215,TACA,259373346,3,1,3,1,1,3
216,TAM,1509195646,8,3,98,7,2,188
217,TAP - Air Portugal,619130754,0,0,0,0,0,0
218,Thai Airways,1702802250,8,4,308,2,1,1
219,Turkish Airlines,1946098294,8,3,64,8,2,84
220,United / Continental*,7139291291,19,8,319,14,2,109
221,US Airways / America West*,2455687887,16,7,224,11,2,23
222,Vietna57m Airlines,625084918,7,3,171,1,0,0
223,Virgin Atlantic,1005248585,1,0,0,0,0,0
224,Xiamen Airlines,430462962,9,1,82,2,0,0
225,Aer Lingus,320906734,2,1,1,1,1,1
226,Aeroflot*,1197672318,76,14,128,6,1,88
227,Aerolineas Argentinas,385803648,6,0,0,1,0,0
228,Aeromexico*,596871813,3,1,64,5,0,0
229,Air Canada,1865253802,2,0,0,2,0,0
230,Air France,3004002661,14,4,79,6,2,337
231,Air India*,869253552,2,1,329,4,1,158
232,Air New Zealand*,710174817,3,0,0,5,1,7
233,Alaska Airlines*,965346773,5,0,0,5,1,88
234,Alitalia,698012498,7,2,50,4,0,0
235,All Nippon Airways,1841234177,3,1,1,7,0,0
236,American*,5228357340,21,5,101,17,3,416
237,Austrian Airlines,358239823,1,0,0,1,0,0
238,Avianca,396922563,5,3,323,0,0,0
239,British Airways*,3179760952,4,0,0,6,0,0
240,Cathay Pacific*,2582459303,0,0,0,2,0,0
241,China Airlines,813216487,12,6,535,2,1,225
242,Condor,417982610,2,1,16,0,0,0
243,COPA,550491507,3,1,47,0,0,0
244,Delta / Northwest*,6525658894,24,12,407,24,2,51
245,Egyptair,557699891,8,3,282,4,1,14
246,El Al,335448023,1,1,4,1,0,0
247,Ethiopian Airlines,488560643,25,5,167,5,2,92
248,Finnair,506464950,1,0,0,0,0,0
249,Garuda Indonesia,613356665,10,3,260,4,2,22
250,Gulf Air,301379762,1,0,0,3,1,143
251,Hawaiian Airlines,493877795,0,0,0,1,0,0
252,Iberia,1173203126,4,1,148,5,0,0
253,Japan Airlines,1574217531,3,1,520,0,0,0
254,Kenya Airways,277414794,2,0,0,2,2,283
255,KLM*,1874561773,7,1,3,1,0,0
256,Korean Air,1734522605,12,5,425,1,0,0
257,LAN Airlines,1001965891,3,2,21,0,0,0
258,Lufthansa*,3426529504,6,1,2,3,0,0
259,Malaysia Airlines,1039171244,3,1,34,3,2,537
260,Pakistan International,348563137,8,3,234,10,2,46
261,Philippine Airlines,413007158,7,4,74,2,1,1
262,Qantas*,1917428984,1,0,0,5,0,0
263,Royal Air Maroc,295705339,5,3,51,3,0,0
264,SAS*,682971852,5,0,0,6,1,110
265,Saudi Arabian,859673901,7,2,313,11,0,0
266,Singapore Airlines,2376857805,2,2,6,2,1,83
267,South African,651502442,2,1,159,1,0,0
268,Southwest Airlines,3276525770,1,0,0,8,0,0
269,Sri Lankan / AirLanka,325582976,2,1,14,4,0,0
270,SWISS*,792601299,2,1,229,3,0,0
271,TACA,259373346,3,1,3,1,1,3
272,TAM,1509195646,8,3,98,7,2,188
273,TAP - Air Portugal,619130754,0,0,0,0,0,0
274,Thai Airways,1702802250,8,4,308,2,1,1
275,Turkish Airlines,1946098294,8,3,64,8,2,84
276,United / Continental*,7139291291,19,8,319,14,2,109
277,US Airways / America West*,2455687887,16,7,224,11,2,23
278,Vietna57m Airlines,625084918,7,3,171,1,0,0
279,Virgin Atlantic,1005248585,1,0,0,0,0,0
280,Xiamen Airlines,430462962,9,1,82,2,0,0
281,Aer Lingus,320906734,2,1,1,1,1,1
282,Aeroflot*,1197672318,76,14,128,6,1,88
283,Aerolineas Argentinas,385803648,6,0,0,1,0,0
284,Aeromexico*,596871813,3,1,64,5,0,0
285,Air Canada,1865253802,2,0,0,2,0,0
286,Air France,3004002661,14,4,79,6,2,337
287,Air India*,869253552,2,1,329,4,1,158
288,Air New Zealand*,710174817,3,0,0,5,1,7
289,Alaska Airlines*,965346773,5,0,0,5,1,88
290,Alitalia,698012498,7,2,50,4,0,0
291,All Nippon Airways,1841234177,3,1,1,7,0,0
292,American*,5228357340,21,5,101,17,3,416
293,Austrian Airlines,358239823,1,0,0,1,0,0
294,Avianca,396922563,5,3,323,0,0,0
295,British Airways*,3179760952,4,0,0,6,0,0
296,Cathay Pacific*,2582459303,0,0,0,2,0,0
297,China Airlines,813216487,12,6,535,2,1,225
298,Condor,417982610,2,1,16,0,0,0
299,COPA,550491507,3,1,47,0,0,0
300,Delta / Northwest*,6525658894,24,12,407,24,2,51
301,Egyptair,557699891,8,3,282,4,1,14
302,El Al,335448023,1,1,4,1,0,0
303,Ethiopian Airlines,488560643,25,5,167,5,2,92
304,Finnair,506464950,1,0,0,0,0,0
305,Garuda Indonesia,613356665,10,3,260,4,2,22
306,Gulf Air,301379762,1,0,0,3,1,143
307,Hawaiian Airlines,493877795,0,0,0,1,0,0
308,Iberia,1173203126,4,1,148,5,0,0
309,Japan Airlines,1574217531,3,1,520,0,0,0
310,Kenya Airways,277414794,2,0,0,2,2,283
311,KLM*,1874561773,7,1,3,1,0,0
312,Korean Air,1734522605,12,5,425,1,0,0
313,LAN Airlines,1001965891,3,2,21,0,0,0
314,Lufthansa*,3426529504,6,1,2,3,0,0
315,Malaysia Airlines,1039171244,3,1,34,3,2,537
316,Pakistan International,348563137,8,3,234,10,2,46
317,Philippine Airlines,413007158,7,4,74,2,1,1
318,Qantas*,1917428984,1,0,0,5,0,0
319,Royal Air Maroc,295705339,5,3,51,3,0,0
320,SAS*,682971852,5,0,0,6,1,110
321,Saudi Arabian,859673901,7,2,313,11,0,0
322,Singapore Airlines,2376857805,2,2,6,2,1,83
323,South African,651502442,2,1,159,1,0,0
324,Southwest Airlines,3276525770,1,0,0,8,0,0
325,Sri Lankan / AirLanka,325582976,2,1,14,4,0,0
326,SWISS*,792601299,2,1,229,3,0,0
327,TACA,259373346,3,1,3,1,1,3
328,TAM,1509195646,8,3,98,7,2,188
329,TAP - Air Portugal,619130754,0,0,0,0,0,0
330,Thai Airways,1702802250,8,4,308,2,1,1
331,Turkish Airlines,1946098294,8,3,64,8,2,84
332,United / Continental*,7139291291,19,8,319,14,2,109
333,US Airways / America West*,2455687887,16,7,224,11,2,23
334,Vietna57m Airlines,625084918,7,3,171,1,0,0
335,Virgin Atlantic,1005248585,1,0,0,0,0,0
336,Xiamen Airlines,430462962,9,1,82,2,0,0
337,Aer Lingus,320906734,2,1,1,1,1,1
338,Aeroflot*,1197672318,76,14,128,6,1,88
339,Aerolineas Argentinas,385803648,6,0,0,1,0,0
340,Aeromexico*,596871813,3,1,64,5,0,0
341,Air Canada,1865253802,2,0,0,2,0,0
342,Air France,3004002661,14,4,79,6,2,337
343,Air India*,869253552,2,1,329,4,1,158
344,Air New Zealand*,710174817,3,0,0,5,1,7
345,Alaska Airlines*,965346773,5,0,0,5,1,88
346,Alitalia,698012498,7,2,50,4,0,0
347,All Nippon Airways,1841234177,3,1,1,7,0,0
348,American*,5228357340,21,5,101,17,3,416
349,Austrian Airlines,358239823,1,0,0,1,0,0
350,Avianca,396922563,5,3,323,0,0,0
351,British Airways*,3179760952,4,0,0,6,0,0
352,Cathay Pacific*,2582459303,0,0,0,2,0,0
353,China Airlines,813216487,12,6,535,2,1,225
354,Condor,417982610,2,1,16,0,0,0
355,COPA,550491507,3,1,47,0,0,0
356,Delta / Northwest*,6525658894,24,12,407,24,2,51
357,Egyptair,557699891,8,3,282,4,1,14
358,El Al,335448023,1,1,4,1,0,0
359,Ethiopian Airlines,488560643,25,5,167,5,2,92
360,Finnair,506464950,1,0,0,0,0,0
361,Garuda Indonesia,613356665,10,3,260,4,2,22
362,Gulf Air,301379762,1,0,0,3,1,143
363,Hawaiian Airlines,493877795,0,0,0,1,0,0
364,Iberia,1173203126,4,1,148,5,0,0
365,Japan Airlines,1574217531,3,1,520,0,0,0
366,Kenya Airways,277414794,2,0,0,2,2,283
367,KLM*,1874561773,7,1,3,1,0,0
368,Korean Air,1734522605,12,5,425,1,0,0
369,LAN Airlines,1001965891,3,2,21,0,0,0
370,Lufthansa*,3426529504,6,1,2,3,0,0
371,Malaysia Airlines,1039171244,3,1,34,3,2,537
372,Pakistan International,348563137,8,3,234,10,2,46
373,Philippine Airlines,413007158,7,4,74,2,1,1
374,Qantas*,1917428984,1,0,0,5,0,0
375,Royal Air Maroc,295705339,5,3,51,3,0,0
376,SAS*,682971852,5,0,0,6,1,110
377,Saudi Arabian,859673901,7,2,313,11,0,0
378,Singapore Airlines,2376857805,2,2,6,2,1,83
379,South African,651502442,2,1,159,1,0,0
380,Southwest Airlines,3276525770,1,0,0,8,0,0
381,Sri Lankan / AirLanka,325582976,2,1,14,4,0,0
382,SWISS*,792601299,2,1,229,3,0,0
383,TACA,259373346,3,1,3,1,1,3
384,TAM,1509195646,8,3,98,7,2,188
385,TAP - Air Portugal,619130754,0,0,0,0,0,0
386,Thai Airways,1702802250,8,4,308,2,1,1
387,Turkish Airlines,1946098294,8,3,64,8,2,84
388,United / Continental*,7139291291,19,8,319,14,2,109
389,US Airways / America West*,2455687887,16,7,224,11,2,23
390,Vietna57m Airlines,625084918,7,3,171,1,0,0
391,Virgin Atlantic,1005248585,1,0,0,0,0,0
392,Xiamen Airlines,430462962,9,1,82,2,0,0
393,Aer Lingus,320906734,2,0,0,0,0,0
394,Aeroflot*,1197672318,76,14,128,6,1,88
